SL,ID,Year, Market Capitalization ,Market Cap Growth,Debt / Equity Ratio,Debt / FCF Ratio,Return on Equity (ROE),Return on Assets (ROA),Return on Capital (ROIC),Total Shareholders Return,Log Total Assets,Log Currency in Circulation ($ Bil),Effective Federal Funds Rate (%)
2,WASH,2019,"933,294,314",0.135,2.369,16.918,0.141,0.013,0.014,0.03582,28.99969003,28.18771164,1.551
3,THFF,2010,"462,148,278",0.153,0.497,3.464,0.087,0.011,0.015,0.02604,28.47077645,27.5749756,0.183
3,THFF,2011,"437,686,246",-0.053,0.71,5.9,0.108,0.014,0.019,0.02499,28.63944658,27.65389292,0.072
3,THFF,2012,"400,302,696",-0.085,0.431,3.683,0.09,0.011,0.016,0.02557,28.68461186,27.73765104,0.165
3,THFF,2013,"486,522,127",0.215,0.305,1.959,0.084,0.011,0.015,0.00784,28.87522226,27.80750557,0.085
3,THFF,2014,"459,704,845",-0.055,0.154,1.159,0.084,0.011,0.016,0.03422,29.09780706,27.87699419,0.123
3,THFF,2015,"431,550,430",-0.061,0.113,1.232,0.074,0.01,0.014,0.05864,29.13246521,27.94680411,0.241
3,THFF,2016,"643,406,914",0.491,0.196,2.127,0.092,0.013,0.02,0.05939,29.12894515,28.00762577,0.54
3,THFF,2017,"554,347,062",-0.138,0.139,1.223,0.068,0.01,0.017,0.0626,29.12665913,28.07258295,1.302
3,THFF,2018,"492,040,057",-0.112,0.157,1.257,0.109,0.016,0.02,0.02287,29.08537915,28.13855114,2.274
3,THFF,2019,"626,974,591",0.274,0.199,2.277,0.095,0.014,0.018,-0.02856,28.99969003,28.18771164,1.551
4,CTBI,2010,"441,644,315",0.192,0.828,4.764,0.099,0.01,0.015,0.04174,28.47077645,27.5749756,0.183
4,CTBI,2011,"453,896,967",0.028,0.854,5.095,0.109,0.011,0.016,0.03461,28.63944658,27.65389292,0.072
4,CTBI,2012,"511,773,357",0.128,0.712,5.311,0.115,0.012,0.018,0.02755,28.68461186,27.73765104,0.165
4,CTBI,2013,"713,678,428",0.395,0.686,3.194,0.111,0.012,0.017,0.01799,28.87522226,27.80750557,0.085
4,CTBI,2014,"638,379,443",-0.106,0.823,6.64,0.099,0.012,0.016,0.02295,29.09780706,27.87699419,0.123
4,CTBI,2015,"612,476,231",-0.041,0.877,7.876,0.1,0.012,0.016,0.02978,29.13246521,27.94680411,0.241
4,CTBI,2016,"873,902,896",0.427,0.636,5.492,0.096,0.012,0.016,0.02055,29.12894515,28.00762577,0.54
4,CTBI,2017,"833,327,724",-0.046,0.587,5.191,0.099,0.013,0.016,0.02255,29.12665913,28.07258295,1.302
4,CTBI,2018,"702,387,415",-0.157,0.521,4.68,0.108,0.014,0.017,0.03192,29.08537915,28.13855114,2.274
4,CTBI,2019,"829,387,553",0.181,0.501,3.809,0.108,0.015,0.017,0.02954,28.99969003,28.18771164,1.551
5,WSBC,2010,"504,088,629",0.538,0.901,5.396,0.059,0.007,0.007,0.02904,28.47077645,27.5749756,0.183
5,WSBC,2011,"518,473,639",0.029,0.743,4.437,0.07,0.008,0.01,0.03051,28.63944658,27.65389292,0.072
5,WSBC,2012,"592,507,832",0.143,0.515,5.194,0.074,0.009,0.011,0.02146,28.68461186,27.73765104,0.165
5,WSBC,2013,"939,201,952",0.585,0.397,2.886,0.087,0.01,0.014,-0.06702,28.87522226,27.80750557,0.085
5,WSBC,2014,"1,019,071,890",0.085,0.52,4.689,0.09,0.011,0.015,0.02563,29.09780706,27.87699419,0.123
5,WSBC,2015,"1,156,130,600",0.134,1.096,15.598,0.073,0.01,0.012,-0.25016,29.13246521,27.94680411,0.241
5,WSBC,2016,"1,888,649,622",0.634,0.993,11.006,0.069,0.009,0.012,-0.04833,29.12894515,28.00762577,0.54
5,WSBC,2017,"1,789,952,304",-0.052,0.93,9.536,0.068,0.01,0.014,-0.07283,29.12665913,28.07258295,1.302
5,WSBC,2018,"2,003,207,444",0.119,0.775,8.196,0.084,0.012,0.014,-0.08395,29.08537915,28.13855114,2.274
5,WSBC,2019,"2,066,781,393",0.032,0.732,12.555,0.072,0.012,0.014,-0.11303,28.99969003,28.18771164,1.551
6,INDB,2010,"573,557,975",0.314,1.295,14.254,0.095,0.009,0.011,-0.05122,28.47077645,27.5749756,0.183
6,INDB,2011,"586,310,286",0.022,1.146,11.053,0.099,0.009,0.012,0.01609,28.63944658,27.65389292,0.072
6,INDB,2012,"627,642,311",0.071,1.117,16.655,0.086,0.008,0.011,0.01234,28.68461186,27.73765104,0.165
6,INDB,2013,"898,649,735",0.432,0.758,3.396,0.09,0.009,0.011,-0.03598,28.87522226,27.80750557,0.085
6,INDB,2014,"1,025,651,056",0.141,0.635,4.85,0.096,0.009,0.013,-0.01682,29.09780706,27.87699419,0.123
6,INDB,2015,"1,220,544,821",0.19,0.446,4.284,0.086,0.009,0.013,-0.0599,29.13246521,27.94680411,0.241
6,INDB,2016,"1,854,891,083",0.52,0.388,4.049,0.094,0.01,0.015,-0.00259,29.12894515,28.00762577,0.54
6,INDB,2017,"1,916,903,469",0.033,0.343,2.887,0.095,0.011,0.017,-0.01641,29.12665913,28.07258295,1.302
6,INDB,2018,"1,937,151,660",0.011,0.241,1.946,0.121,0.014,0.019,0.01136,29.08537915,28.13855114,2.274
6,INDB,2019,"2,861,615,686",0.477,0.177,1.488,0.108,0.015,0.021,-0.16795,28.99969003,28.18771164,1.551
7,BCS,2010,"47,129,813,960",0.279,17.435,52.41,0.073,0.002,0.002,0.06852,28.47077645,27.5749756,0.183
7,BCS,2011,"33,469,882,543",-0.29,17.875,34.557,0.056,0.002,0.002,0.12994,28.63944658,27.65389292,0.072
7,BCS,2012,"52,823,723,087",0.578,17.739,-63.139,-0.012,0,0,0.08799,28.68461186,27.73765104,0.165
7,BCS,2013,"55,489,736,570",0.05,12.579,-27.133,0.01,0,0.001,0.08958,28.87522226,27.80750557,0.085
7,BCS,2014,"60,465,197,835",0.09,11.887,-65.859,-0.003,0,0,0.11406,29.09780706,27.87699419,0.123
7,BCS,2015,"53,454,116,704",-0.116,8.547,37.046,-0.007,0,0,0.1216,29.13246521,27.94680411,0.241
7,BCS,2016,"46,212,660,860",-0.135,8.204,53.558,0.026,0.001,0.002,0.09018,29.12894515,28.00762577,0.54
7,BCS,2017,"45,792,545,761",-0.009,8.227,8.83,-0.03,-0.002,0,0.05431,29.12665913,28.07258295,1.302
7,BCS,2018,"31,676,678,444",-0.308,8.59,63.187,0.026,0.001,0.002,0.06897,29.08537915,28.13855114,2.274
7,BCS,2019,"40,776,078,956",0.287,8.139,-233.177,0.037,0.002,0.002,0.14496,28.99969003,28.18771164,1.551
8,BAC,2010,1.35E+11,0.03266,3.302,9.242,-0.016,-0.002,0,-0.26388,28.47077645,27.5749756,0.183
8,BAC,2011,56355447286,-0.58111,2.707,9.864,0,0,0,-0.04023,28.63944658,27.65389292,0.072
8,BAC,2012,1.25E+11,1.22043,2.53,-37.354,0.012,0.001,0.001,-0.05371,28.68461186,27.73765104,0.165
8,BAC,2013,1.66E+11,0.32716,2.122,5.32,0.043,0.005,0.007,-0.05743,28.87522226,27.80750557,0.085
8,BAC,2014,1.88E+11,0.13288,1.953,15.444,0.019,0.002,0.004,0.08563,29.09780706,27.87699419,0.123
8,BAC,2015,1.75E+11,-0.06855,1.714,15.465,0.057,0.007,0.01,-0.04963,29.13246521,27.94680411,0.241
8,BAC,2016,2.23E+11,0.27436,1.544,23.792,0.061,0.007,0.012,0.02837,29.12894515,28.00762577,0.54
8,BAC,2017,3.08E+11,0.37878,1.636,44.296,0.062,0.007,0.013,0.03721,29.12665913,28.07258295,1.302
8,BAC,2018,2.42E+11,-0.21464,1.645,11.047,0.101,0.011,0.015,0.07279,29.08537915,28.13855114,2.274
8,BAC,2019,3.17E+11,0.31009,1.624,6.963,0.097,0.011,0.014,0.09713,28.99969003,28.18771164,1.551
9,WFC,2010,1.63E+11,0.28635,1.68,11.314,0.096,0.009,0.014,-0.14708,28.47077645,27.5749756,0.183
9,WFC,2011,1.45E+11,-0.10648,1.244,12.766,0.11,0.012,0.017,0.00597,28.63944658,27.65389292,0.072
9,WFC,2012,1.80E+11,0.23803,1.171,3.153,0.119,0.013,0.02,0.02058,28.68461186,27.73765104,0.165
9,WFC,2013,2.39E+11,0.3291,1.216,3.589,0.126,0.014,0.022,0.02174,28.87522226,27.80750557,0.085
9,WFC,2014,2.84E+11,0.18916,1.342,14.117,0.121,0.013,0.021,0.03357,29.09780706,27.87699419,0.123
9,WFC,2015,2.78E+11,-0.02365,1.539,18.679,0.112,0.012,0.019,0.04881,29.13246521,27.94680411,0.241
9,WFC,2016,2.77E+11,-0.00318,1.763,349.065,0.102,0.011,0.017,0.04714,29.12894515,28.00762577,0.54
9,WFC,2017,2.99E+11,0.0794,1.586,17.631,0.1,0.011,0.014,0.04341,29.12665913,28.07258295,1.302
9,WFC,2018,2.17E+11,-0.27395,1.707,9.282,0.103,0.011,0.014,0.07195,29.08537915,28.13855114,2.274
9,WFC,2019,2.28E+11,0.04901,1.778,49.436,0.093,0.009,0.012,0.12243,28.99969003,28.18771164,1.551
10,JPM,2010,1.66E+11,0.01108,3.503,-164.442,0.092,0.007,0.009,-0.02028,28.47077645,27.5749756,0.183
10,JPM,2011,1.26E+11,-0.23811,2.963,5.669,0.096,0.008,0.01,0.03893,28.63944658,27.65389292,0.072
10,JPM,2012,1.67E+11,0.32295,2.799,22.773,0.101,0.009,0.01,0.05123,28.68461186,27.73765104,0.165
10,JPM,2013,2.20E+11,0.31526,2.533,4.955,0.079,0.007,0.01,0.02531,28.87522226,27.80750557,0.085
10,JPM,2014,2.34E+11,0.06413,2.438,15.441,0.088,0.008,0.011,0.02966,29.09780706,27.87699419,0.123
10,JPM,2015,2.43E+11,0.03902,1.931,6.506,0.093,0.009,0.012,0.03215,29.13246521,27.94680411,0.241
10,JPM,2016,3.09E+11,0.27031,1.949,22.635,0.09,0.009,0.013,0.04396,29.12894515,28.00762577,0.54
10,JPM,2017,3.71E+11,0.20172,1.935,-45.7,0.088,0.009,0.013,0.0502,29.12665913,28.07258295,1.302
10,JPM,2018,3.25E+11,-0.12512,2.08,34.176,0.119,0.012,0.014,0.07146,29.08537915,28.13855114,2.274
10,JPM,2019,4.37E+11,0.34686,1.975,126.122,0.132,0.013,0.015,0.07809,28.99969003,28.18771164,1.551
