SL,ID,Year, Market Capitalization ,Market Cap Growth,Debt / Equity Ratio,Debt / FCF Ratio,Return on Equity (ROE),Return on Assets (ROA),Return on Capital (ROIC),Total Shareholders Return,Log Total Assets,Log Currency in Circulation ($ Bil),Effective Federal Funds Rate (%),Loss Function
9,IKFN,2011,"419,456,672",0.212,0.688,4.198,0.117,0.011,0.016,,14.877,6.972,0.072,-20.251
9,IKFN,2012,"422,387,022",0.007,0.564,3.519,0.122,0.012,0.018,,14.881,7.053,0.165,-15.307
9,IKFN,2013,"642,147,324",0.52,0.91,5.28,0.124,0.013,0.018,,15.2,7.115,0.085,-7.407
9,IKFN,2014,"719,344,777",0.12,0.53,3.983,0.126,0.013,0.019,,15.319,7.19,0.123,-2.841
9,IKFN,2015,"775,573,537",0.078,0.434,3.605,0.122,0.013,0.019,,15.317,7.255,0.241,-1.759
9,IKFN,2016,"1,187,840,280",0.532,0.611,4.981,0.124,0.013,0.019,,15.311,7.313,0.54,-0.519
9,IKFN,2017,"1,221,700,846",0.029,0.388,2.684,0.126,0.013,0.02,,15.308,7.381,1.302,-0.088
9,IKFN,2018,"1,016,117,557",-0.168,0.53,2.837,0.162,0.017,0.021,,15.222,7.442,2.274,0.013
9,IKFN,2019,"1,253,734,173",0.234,0.284,1.847,0.152,0.018,0.022,,15.23,7.492,1.551,0.029
10,GABC,2010,"204,497,065",0.136,1.265,9.751,0.112,0.01,0.013,,14.688,6.887,0.183,-28.982
10,GABC,2011,"229,076,202",0.12,0.782,5.78,0.125,0.011,0.015,,14.877,6.972,0.072,-20.251
10,GABC,2012,"274,337,631",0.198,0.87,4.195,0.134,0.012,0.017,,14.881,7.053,0.165,-15.307
10,GABC,2013,"374,326,912",0.364,0.704,3.694,0.135,0.012,0.017,,15.2,7.115,0.085,-7.407
10,GABC,2014,"403,181,255",0.077,0.901,6.163,0.13,0.013,0.017,,15.319,7.19,0.123,-2.841
10,GABC,2015,"442,345,591",0.097,1.083,9.217,0.123,0.013,0.017,,15.317,7.255,0.241,-1.759
10,GABC,2016,"802,715,436",0.815,0.782,7.037,0.106,0.012,0.016,,15.311,7.313,0.54,-0.519
10,GABC,2017,"810,117,501",0.009,0.755,6.298,0.114,0.013,0.016,,15.308,7.381,1.302,-0.088
10,GABC,2018,"693,114,374",-0.144,0.821,7.911,0.119,0.014,0.015,,15.222,7.442,2.274,0.013
10,GABC,2019,"949,689,327",0.37,0.609,6.069,0.112,0.014,0.017,,15.23,7.492,1.551,0.029
11,RJF,2010,"3,147,342,092",0.097,1.399,-3.088,0.104,0.015,0.023,,14.688,6.887,0.183,-28.982
11,RJF,2011,"3,286,875,972",0.044,0.348,0.592,0.111,0.017,0.031,,14.877,6.972,0.072,-20.251
11,RJF,2012,"5,058,351,747",0.539,0.538,5.605,0.097,0.015,0.025,,14.881,7.053,0.165,-15.307
11,RJF,2013,"5,827,414,698",0.152,0.448,2.798,0.104,0.016,0.026,,15.2,7.115,0.085,-7.407
11,RJF,2014,"7,569,403,268",0.299,0.515,4.77,0.121,0.021,0.034,,15.319,7.19,0.123,-2.841
11,RJF,2015,"7,146,220,474",-0.056,0.486,2.667,0.114,0.02,0.033,,15.317,7.255,0.241,-1.759
11,RJF,2016,"8,247,435,419",0.154,0.57,-4.032,0.112,0.018,0.028,,15.311,7.313,0.54,-0.519
11,RJF,2017,"12,159,341,151",0.474,0.628,-11.128,0.12,0.019,0.029,,15.308,7.381,1.302,-0.088
11,RJF,2018,"13,429,032,651",0.104,0.451,3.827,0.142,0.023,0.038,,15.222,7.442,2.274,0.013
11,RJF,2019,"11,449,009,942",-0.147,0.488,7.319,0.162,0.027,0.04,,15.23,7.492,1.551,0.029
12,SNV,2010,"2,072,736,907",1.105,0.77,2.586,-0.277,-0.027,-0.027,,14.688,6.887,0.183,-28.982
12,SNV,2011,"1,107,267,335",-0.466,0.594,2.645,-0.042,-0.004,-0.002,,14.877,6.972,0.072,-20.251
12,SNV,2012,"1,927,148,556",0.74,0.54,4.332,0.255,0.029,0.001,,14.881,7.053,0.165,-15.307
12,SNV,2013,"3,500,189,489",0.816,0.74,3.783,0.036,0.005,0.009,,15.2,7.115,0.085,-7.407
12,SNV,2014,"3,699,720,824",0.057,0.745,6.502,0.061,0.007,0.011,,15.319,7.19,0.123,-2.841
12,SNV,2015,"4,228,841,502",0.143,0.788,5.674,0.072,0.008,0.012,,15.317,7.255,0.241,-1.759
