SL,ID,Year,  Market Capitalization  ,Market Cap Growth,Debt / Equity Ratio,Debt / FCF Ratio,Return on Equity (ROE),Return on Assets (ROA),Return on Capital (ROIC),Total Shareholders Return,TA,CC,FFR
3,THFF,2013," 486,522,127 ",0.215,0.305,1.959,0.084,0.011,0.015,0.00784,0.1906104,0.06985453,-0.032918242
3,THFF,2014," 459,704,845 ",-0.055,0.154,1.159,0.084,0.011,0.016,0.03422,0.2225848,0.06948862,-0.019226831
3,THFF,2015," 431,550,430 ",-0.061,0.113,1.232,0.074,0.01,0.014,0.05864,0.03465815,0.06980992,0.045117896
3,THFF,2016," 643,406,914 ",0.491,0.196,2.127,0.092,0.013,0.02,0.05939,-0.00352006,0.06082166,0.259561475
3,THFF,2017," 554,347,062 ",-0.138,0.139,1.223,0.068,0.01,0.017,0.0626,-0.00228602,0.06495718,0.607769746
3,THFF,2018," 492,040,057 ",-0.112,0.157,1.257,0.109,0.016,0.02,0.02287,-0.04127998,0.06596819,0.831640169
3,THFF,2019," 626,974,591 ",0.274,0.199,2.277,0.095,0.014,0.018,-0.02856,-0.08568912,0.0491605,0.326158154
4,CTBI,2011," 453,896,967 ",0.028,0.854,5.095,0.109,0.011,0.016,0.03461,0.16867013,0.07891732,-0.07418798
4,CTBI,2012," 511,773,357 ",0.128,0.712,5.311,0.115,0.012,0.018,0.02755,0.04516528,0.08375812,0.038678035
4,CTBI,2013," 713,678,428 ",0.395,0.686,3.194,0.111,0.012,0.017,0.01799,0.1906104,0.06985453,-0.032918242
4,CTBI,2014," 638,379,443 ",-0.106,0.823,6.64,0.099,0.012,0.016,0.02295,0.2225848,0.06948862,-0.019226831
4,CTBI,2015," 612,476,231 ",-0.041,0.877,7.876,0.1,0.012,0.016,0.02978,0.03465815,0.06980992,0.045117896
4,CTBI,2016," 873,902,896 ",0.427,0.636,5.492,0.096,0.012,0.016,0.02055,-0.00352006,0.06082166,0.259561475
4,CTBI,2017," 833,327,724 ",-0.046,0.587,5.191,0.099,0.013,0.016,0.02255,-0.00228602,0.06495718,0.607769746
4,CTBI,2018," 702,387,415 ",-0.157,0.521,4.68,0.108,0.014,0.017,0.03192,-0.04127998,0.06596819,0.831640169
4,CTBI,2019," 829,387,553 ",0.181,0.501,3.809,0.108,0.015,0.017,0.02954,-0.08568912,0.0491605,0.326158154
5,WSBC,2011," 518,473,639 ",0.029,0.743,4.437,0.07,0.008,0.01,0.03051,0.16867013,0.07891732,-0.07418798
5,WSBC,2012," 592,507,832 ",0.143,0.515,5.194,0.074,0.009,0.011,0.02146,0.04516528,0.08375812,0.038678035
5,WSBC,2013," 939,201,952 ",0.585,0.397,2.886,0.087,0.01,0.014,-0.06702,0.1906104,0.06985453,-0.032918242
5,WSBC,2014," 1,019,071,890 ",0.085,0.52,4.689,0.09,0.011,0.015,0.02563,0.2225848,0.06948862,-0.019226831
5,WSBC,2015," 1,156,130,600 ",0.134,1.096,15.598,0.073,0.01,0.012,-0.25016,0.03465815,0.06980992,0.045117896
5,WSBC,2016," 1,888,649,622 ",0.634,0.993,11.006,0.069,0.009,0.012,-0.04833,-0.00352006,0.06082166,0.259561475
5,WSBC,2017," 1,789,952,304 ",-0.052,0.93,9.536,0.068,0.01,0.014,-0.07283,-0.00228602,0.06495718,0.607769746
5,WSBC,2018," 2,003,207,444 ",0.119,0.775,8.196,0.084,0.012,0.014,-0.08395,-0.04127998,0.06596819,0.831640169
5,WSBC,2019," 2,066,781,393 ",0.032,0.732,12.555,0.072,0.012,0.014,-0.11303,-0.08568912,0.0491605,0.326158154
6,INDB,2011," 586,310,286 ",0.022,1.146,11.053,0.099,0.009,0.012,0.01609,0.16867013,0.07891732,-0.07418798
6,INDB,2012," 627,642,311 ",0.071,1.117,16.655,0.086,0.008,0.011,0.01234,0.04516528,0.08375812,0.038678035
6,INDB,2013," 898,649,735 ",0.432,0.758,3.396,0.09,0.009,0.011,-0.03598,0.1906104,0.06985453,-0.032918242
6,INDB,2014," 1,025,651,056 ",0.141,0.635,4.85,0.096,0.009,0.013,-0.01682,0.2225848,0.06948862,-0.019226831
6,INDB,2015," 1,220,544,821 ",0.19,0.446,4.284,0.086,0.009,0.013,-0.0599,0.03465815,0.06980992,0.045117896
6,INDB,2016," 1,854,891,083 ",0.52,0.388,4.049,0.094,0.01,0.015,-0.00259,-0.00352006,0.06082166,0.259561475
6,INDB,2017," 1,916,903,469 ",0.033,0.343,2.887,0.095,0.011,0.017,-0.01641,-0.00228602,0.06495718,0.607769746
6,INDB,2018," 1,937,151,660 ",0.011,0.241,1.946,0.121,0.014,0.019,0.01136,-0.04127998,0.06596819,0.831640169
6,INDB,2019," 2,861,615,686 ",0.477,0.177,1.488,0.108,0.015,0.021,-0.16795,-0.08568912,0.0491605,0.326158154
7,BCS,2011," 33,469,882,543 ",-0.29,17.875,34.557,0.056,0.002,0.002,0.12994,0.16867013,0.07891732,-0.07418798
7,BCS,2012," 52,823,723,087 ",0.578,17.739,-63.139,-0.012,0,0,0.08799,0.04516528,0.08375812,0.038678035
7,BCS,2013," 55,489,736,570 ",0.05,12.579,-27.133,0.01,0,0.001,0.08958,0.1906104,0.06985453,-0.032918242
7,BCS,2014," 60,465,197,835 ",0.09,11.887,-65.859,-0.003,0,0,0.11406,0.2225848,0.06948862,-0.019226831
7,BCS,2015," 53,454,116,704 ",-0.116,8.547,37.046,-0.007,0,0,0.1216,0.03465815,0.06980992,0.045117896
7,BCS,2016," 46,212,660,860 ",-0.135,8.204,53.558,0.026,0.001,0.002,0.09018,-0.00352006,0.06082166,0.259561475
7,BCS,2017," 45,792,545,761 ",-0.009,8.227,8.83,-0.03,-0.002,0,0.05431,-0.00228602,0.06495718,0.607769746
7,BCS,2018," 31,676,678,444 ",-0.308,8.59,63.187,0.026,0.001,0.002,0.06897,-0.04127998,0.06596819,0.831640169
7,BCS,2019," 40,776,078,956 ",0.287,8.139,-233.177,0.037,0.002,0.002,0.14496,-0.08568912,0.0491605,0.326158154
8,BAC,2011," 56,355,447,286 ",-0.58111,2.707,9.864,0,0,0,-0.04023,0.16867013,0.07891732,-0.07418798
8,BAC,2012," 125,000,000,000 ",1.22043,2.53,-37.354,0.012,0.001,0.001,-0.05371,0.04516528,0.08375812,0.038678035
8,BAC,2013," 166,000,000,000 ",0.32716,2.122,5.32,0.043,0.005,0.007,-0.05743,0.1906104,0.06985453,-0.032918242
8,BAC,2014," 188,000,000,000 ",0.13288,1.953,15.444,0.019,0.002,0.004,0.08563,0.2225848,0.06948862,-0.019226831
8,BAC,2015," 175,000,000,000 ",-0.06855,1.714,15.465,0.057,0.007,0.01,-0.04963,0.03465815,0.06980992,0.045117896
8,BAC,2016," 223,000,000,000 ",0.27436,1.544,23.792,0.061,0.007,0.012,0.02837,-0.00352006,0.06082166,0.259561475
8,BAC,2017," 308,000,000,000 ",0.37878,1.636,44.296,0.062,0.007,0.013,0.03721,-0.00228602,0.06495718,0.607769746
8,BAC,2018," 242,000,000,000 ",-0.21464,1.645,11.047,0.101,0.011,0.015,0.07279,-0.04127998,0.06596819,0.831640169
8,BAC,2019," 317,000,000,000 ",0.31009,1.624,6.963,0.097,0.011,0.014,0.09713,-0.08568912,0.0491605,0.326158154
9,WFC,2011," 145,000,000,000 ",-0.10648,1.244,12.766,0.11,0.012,0.017,0.00597,0.16867013,0.07891732,-0.07418798
9,WFC,2012," 180,000,000,000 ",0.23803,1.171,3.153,0.119,0.013,0.02,0.02058,0.04516528,0.08375812,0.038678035
9,WFC,2013," 239,000,000,000 ",0.3291,1.216,3.589,0.126,0.014,0.022,0.02174,0.1906104,0.06985453,-0.032918242
9,WFC,2014," 284,000,000,000 ",0.18916,1.342,14.117,0.121,0.013,0.021,0.03357,0.2225848,0.06948862,-0.019226831
9,WFC,2015," 278,000,000,000 ",-0.02365,1.539,18.679,0.112,0.012,0.019,0.04881,0.03465815,0.06980992,0.045117896
9,WFC,2016," 277,000,000,000 ",-0.00318,1.763,349.065,0.102,0.011,0.017,0.04714,-0.00352006,0.06082166,0.259561475
9,WFC,2017," 299,000,000,000 ",0.0794,1.586,17.631,0.1,0.011,0.014,0.04341,-0.00228602,0.06495718,0.607769746
9,WFC,2018," 217,000,000,000 ",-0.27395,1.707,9.282,0.103,0.011,0.014,0.07195,-0.04127998,0.06596819,0.831640169
9,WFC,2019," 228,000,000,000 ",0.04901,1.778,49.436,0.093,0.009,0.012,0.12243,-0.08568912,0.0491605,0.326158154
10,JPM,2011," 126,000,000,000 ",-0.23811,2.963,5.669,0.096,0.008,0.01,0.03893,0.16867013,0.07891732,-0.07418798
10,JPM,2012," 167,000,000,000 ",0.32295,2.799,22.773,0.101,0.009,0.01,0.05123,0.04516528,0.08375812,0.038678035
10,JPM,2013," 220,000,000,000 ",0.31526,2.533,4.955,0.079,0.007,0.01,0.02531,0.1906104,0.06985453,-0.032918242
10,JPM,2014," 234,000,000,000 ",0.06413,2.438,15.441,0.088,0.008,0.011,0.02966,0.2225848,0.06948862,-0.019226831
10,JPM,2015," 243,000,000,000 ",0.03902,1.931,6.506,0.093,0.009,0.012,0.03215,0.03465815,0.06980992,0.045117896
10,JPM,2016," 309,000,000,000 ",0.27031,1.949,22.635,0.09,0.009,0.013,0.04396,-0.00352006,0.06082166,0.259561475
10,JPM,2017," 371,000,000,000 ",0.20172,1.935,-45.7,0.088,0.009,0.013,0.0502,-0.00228602,0.06495718,0.607769746
10,JPM,2018," 325,000,000,000 ",-0.12512,2.08,34.176,0.119,0.012,0.014,0.07146,-0.04127998,0.06596819,0.831640169
10,JPM,2019," 437,000,000,000 ",0.34686,1.975,126.122,0.132,0.013,0.015,0.07809,-0.08568912,0.0491605,0.326158154
